SerialNo.,GREScore,TOEFLScore,UniversityRating,SOP,LOR,CGPA,Research,Admit
65.00,325.00,111.00,3.00,3.00,3.50,8.70,0.00,0.52
66.00,325.00,112.00,4.00,3.50,3.50,8.92,0.00,0.55
67.00,327.00,114.00,3.00,3.00,3.00,9.02,0.00,0.61
68.00,316.00,107.00,2.00,3.50,3.50,8.64,1.00,0.57
69.00,318.00,109.00,3.00,3.50,4.00,9.22,1.00,0.68
70.00,328.00,115.00,4.00,4.50,4.00,9.16,1.00,0.78
71.00,332.00,118.00,5.00,5.00,5.00,9.64,1.00,0.94
72.00,336.00,112.00,5.00,5.00,5.00,9.76,1.00,0.96
73.00,321.00,111.00,5.00,5.00,5.00,9.45,1.00,0.93
74.00,314.00,108.00,4.00,4.50,4.00,9.04,1.00,0.84
75.00,314.00,106.00,3.00,3.00,5.00,8.90,0.00,0.74
76.00,329.00,114.00,2.00,2.00,4.00,8.56,1.00,0.72
77.00,327.00,112.00,3.00,3.00,3.00,8.72,1.00,0.74
78.00,301.00,99.00,2.00,3.00,2.00,8.22,0.00,0.64
79.00,296.00,95.00,2.00,3.00,2.00,7.54,1.00,0.44
80.00,294.00,93.00,1.00,1.50,2.00,7.36,0.00,0.46
81.00,312.00,105.00,3.00,2.00,3.00,8.02,1.00,0.50
82.00,340.00,120.00,4.00,5.00,5.00,9.50,1.00,0.96
83.00,320.00,110.00,5.00,5.00,4.50,9.22,1.00,0.92
84.00,322.00,115.00,5.00,4.00,4.50,9.36,1.00,0.92
85.00,340.00,115.00,5.00,4.50,4.50,9.45,1.00,0.94
86.00,319.00,103.00,4.00,4.50,3.50,8.66,0.00,0.76
87.00,315.00,106.00,3.00,4.50,3.50,8.42,0.00,0.72
88.00,317.00,107.00,2.00,3.50,3.00,8.28,0.00,0.66
89.00,314.00,108.00,3.00,4.50,3.50,8.14,0.00,0.64
90.00,316.00,109.00,4.00,4.50,3.50,8.76,1.00,0.74
91.00,318.00,106.00,2.00,4.00,4.00,7.92,1.00,0.64
92.00,299.00,97.00,3.00,5.00,3.50,7.66,0.00,0.38
93.00,298.00,98.00,2.00,4.00,3.00,8.03,0.00,0.34
94.00,301.00,97.00,2.00,3.00,3.00,7.88,1.00,0.44
95.00,303.00,99.00,3.00,2.00,2.50,7.66,0.00,0.36
96.00,304.00,100.00,4.00,1.50,2.50,7.84,0.00,0.42
97.00,306.00,100.00,2.00,3.00,3.00,8.00,0.00,0.48
98.00,331.00,120.00,3.00,4.00,4.00,8.96,1.00,0.86
99.00,332.00,119.00,4.00,5.00,4.50,9.24,1.00,0.90
100.00,323.00,113.00,3.00,4.00,4.00,8.88,1.00,0.79
101.00,322.00,107.00,3.00,3.50,3.50,8.46,1.00,0.71
102.00,312.00,105.00,2.00,2.50,3.00,8.12,0.00,0.64
103.00,314.00,106.00,2.00,4.00,3.50,8.25,0.00,0.62
104.00,317.00,104.00,2.00,4.50,4.00,8.47,0.00,0.57
105.00,326.00,112.00,3.00,3.50,3.00,9.05,1.00,0.74
106.00,316.00,110.00,3.00,4.00,4.50,8.78,1.00,0.69
107.00,329.00,111.00,4.00,4.50,4.50,9.18,1.00,0.87
108.00,338.00,117.00,4.00,3.50,4.50,9.46,1.00,0.91
109.00,331.00,116.00,5.00,5.00,5.00,9.38,1.00,0.93
110.00,304.00,103.00,5.00,5.00,4.00,8.64,0.00,0.68
111.00,305.00,108.00,5.00,3.00,3.00,8.48,0.00,0.61
112.00,321.00,109.00,4.00,4.00,4.00,8.68,1.00,0.69
113.00,301.00,107.00,3.00,3.50,3.50,8.34,1.00,0.62
114.00,320.00,110.00,2.00,4.00,3.50,8.56,0.00,0.72
115.00,311.00,105.00,3.00,3.50,3.00,8.45,1.00,0.59
116.00,310.00,106.00,4.00,4.50,4.50,9.04,1.00,0.66
117.00,299.00,102.00,3.00,4.00,3.50,8.62,0.00,0.56
118.00,290.00,104.00,4.00,2.00,2.50,7.46,0.00,0.45
119.00,296.00,99.00,2.00,3.00,3.50,7.28,0.00,0.47
120.00,327.00,104.00,5.00,3.00,3.50,8.84,1.00,0.71
121.00,335.00,117.00,5.00,5.00,5.00,9.56,1.00,0.94
122.00,334.00,119.00,5.00,4.50,4.50,9.48,1.00,0.94
123.00,310.00,106.00,4.00,1.50,2.50,8.36,0.00,0.57
124.00,308.00,108.00,3.00,3.50,3.50,8.22,0.00,0.61
125.00,301.00,106.00,4.00,2.50,3.00,8.47,0.00,0.57
126.00,300.00,100.00,3.00,2.00,3.00,8.66,1.00,0.64
127.00,323.00,113.00,3.00,4.00,3.00,9.32,1.00,0.85
128.00,319.00,112.00,3.00,2.50,2.00,8.71,1.00,0.78
129.00,326.00,112.00,3.00,3.50,3.00,9.10,1.00,0.84
130.00,333.00,118.00,5.00,5.00,5.00,9.35,1.00,0.92
131.00,339.00,114.00,5.00,4.00,4.50,9.76,1.00,0.96
132.00,303.00,105.00,5.00,5.00,4.50,8.65,0.00,0.77
133.00,309.00,105.00,5.00,3.50,3.50,8.56,0.00,0.71
134.00,323.00,112.00,5.00,4.00,4.50,8.78,0.00,0.79
135.00,333.00,113.00,5.00,4.00,4.00,9.28,1.00,0.89
136.00,314.00,109.00,4.00,3.50,4.00,8.77,1.00,0.82
137.00,312.00,103.00,3.00,5.00,4.00,8.45,0.00,0.76
138.00,316.00,100.00,2.00,1.50,3.00,8.16,1.00,0.71
139.00,326.00,116.00,2.00,4.50,3.00,9.08,1.00,0.80
140.00,318.00,109.00,1.00,3.50,3.50,9.12,0.00,0.78
141.00,329.00,110.00,2.00,4.00,3.00,9.15,1.00,0.84
142.00,332.00,118.00,2.00,4.50,3.50,9.36,1.00,0.90
143.00,331.00,115.00,5.00,4.00,3.50,9.44,1.00,0.92
144.00,340.00,120.00,4.00,4.50,4.00,9.92,1.00,0.97
145.00,325.00,112.00,2.00,3.00,3.50,8.96,1.00,0.80
146.00,320.00,113.00,2.00,2.00,2.50,8.64,1.00,0.81
147.00,315.00,105.00,3.00,2.00,2.50,8.48,0.00,0.75
148.00,326.00,114.00,3.00,3.00,3.00,9.11,1.00,0.83
149.00,339.00,116.00,4.00,4.00,3.50,9.80,1.00,0.96
150.00,311.00,106.00,2.00,3.50,3.00,8.26,1.00,0.79
151.00,334.00,114.00,4.00,4.00,4.00,9.43,1.00,0.93
152.00,332.00,116.00,5.00,5.00,5.00,9.28,1.00,0.94
153.00,321.00,112.00,5.00,5.00,5.00,9.06,1.00,0.86
154.00,324.00,105.00,3.00,3.00,4.00,8.75,0.00,0.79
155.00,326.00,108.00,3.00,3.00,3.50,8.89,0.00,0.80
156.00,312.00,109.00,3.00,3.00,3.00,8.69,0.00,0.77
157.00,315.00,105.00,3.00,2.00,2.50,8.34,0.00,0.70
158.00,309.00,104.00,2.00,2.00,2.50,8.26,0.00,0.65
159.00,306.00,106.00,2.00,2.00,2.50,8.14,0.00,0.61
160.00,297.00,100.00,1.00,1.50,2.00,7.90,0.00,0.52
161.00,315.00,103.00,1.00,1.50,2.00,7.86,0.00,0.57
162.00,298.00,99.00,1.00,1.50,3.00,7.46,0.00,0.53
163.00,318.00,109.00,3.00,3.00,3.00,8.50,0.00,0.67
164.00,317.00,105.00,3.00,3.50,3.00,8.56,0.00,0.68
165.00,329.00,111.00,4.00,4.50,4.00,9.01,1.00,0.81
166.00,322.00,110.00,5.00,4.50,4.00,8.97,0.00,0.78
167.00,302.00,102.00,3.00,3.50,5.00,8.33,0.00,0.65
168.00,313.00,102.00,3.00,2.00,3.00,8.27,0.00,0.64
169.00,293.00,97.00,2.00,2.00,4.00,7.80,1.00,0.64
170.00,311.00,99.00,2.00,2.50,3.00,7.98,0.00,0.65
171.00,312.00,101.00,2.00,2.50,3.50,8.04,1.00,0.68
172.00,334.00,117.00,5.00,4.00,4.50,9.07,1.00,0.89
173.00,322.00,110.00,4.00,4.00,5.00,9.13,1.00,0.86
174.00,323.00,113.00,4.00,4.00,4.50,9.23,1.00,0.89
175.00,321.00,111.00,4.00,4.00,4.00,8.97,1.00,0.87
176.00,320.00,111.00,4.00,4.50,3.50,8.87,1.00,0.85
177.00,329.00,119.00,4.00,4.50,4.50,9.16,1.00,0.90
178.00,319.00,110.00,3.00,3.50,3.50,9.04,0.00,0.82
179.00,309.00,108.00,3.00,2.50,3.00,8.12,0.00,0.72
180.00,307.00,102.00,3.00,3.00,3.00,8.27,0.00,0.73
181.00,300.00,104.00,3.00,3.50,3.00,8.16,0.00,0.71
182.00,305.00,107.00,2.00,2.50,2.50,8.42,0.00,0.71
183.00,299.00,100.00,2.00,3.00,3.50,7.88,0.00,0.68
184.00,314.00,110.00,3.00,4.00,4.00,8.80,0.00,0.75
185.00,316.00,106.00,2.00,2.50,4.00,8.32,0.00,0.72
186.00,327.00,113.00,4.00,4.50,4.50,9.11,1.00,0.89
187.00,317.00,107.00,3.00,3.50,3.00,8.68,1.00,0.84
188.00,335.00,118.00,5.00,4.50,3.50,9.44,1.00,0.93
189.00,331.00,115.00,5.00,4.50,3.50,9.36,1.00,0.93
190.00,324.00,112.00,5.00,5.00,5.00,9.08,1.00,0.88
191.00,324.00,111.00,5.00,4.50,4.00,9.16,1.00,0.90
192.00,323.00,110.00,5.00,4.00,5.00,8.98,1.00,0.87
193.00,322.00,114.00,5.00,4.50,4.00,8.94,1.00,0.86
194.00,336.00,118.00,5.00,4.50,5.00,9.53,1.00,0.94
195.00,316.00,109.00,3.00,3.50,3.00,8.76,0.00,0.77
196.00,307.00,107.00,2.00,3.00,3.50,8.52,1.00,0.78
197.00,306.00,105.00,2.00,3.00,2.50,8.26,0.00,0.73
198.00,310.00,106.00,2.00,3.50,2.50,8.33,0.00,0.73
199.00,311.00,104.00,3.00,4.50,4.50,8.43,0.00,0.70
200.00,313.00,107.00,3.00,4.00,4.50,8.69,0.00,0.72
201.00,317.00,103.00,3.00,2.50,3.00,8.54,1.00,0.73
202.00,315.00,110.00,2.00,3.50,3.00,8.46,1.00,0.72
203.00,340.00,120.00,5.00,4.50,4.50,9.91,1.00,0.97
204.00,334.00,120.00,5.00,4.00,5.00,9.87,1.00,0.97
205.00,298.00,105.00,3.00,3.50,4.00,8.54,0.00,0.69
206.00,295.00,99.00,2.00,2.50,3.00,7.65,0.00,0.57
207.00,315.00,99.00,2.00,3.50,3.00,7.89,0.00,0.63
208.00,310.00,102.00,3.00,3.50,4.00,8.02,1.00,0.66
209.00,305.00,106.00,2.00,3.00,3.00,8.16,0.00,0.64
210.00,301.00,104.00,3.00,3.50,4.00,8.12,1.00,0.68
211.00,325.00,108.00,4.00,4.50,4.00,9.06,1.00,0.79
212.00,328.00,110.00,4.00,5.00,4.00,9.14,1.00,0.82
213.00,338.00,120.00,4.00,5.00,5.00,9.66,1.00,0.95
214.00,333.00,119.00,5.00,5.00,4.50,9.78,1.00,0.96
215.00,331.00,117.00,4.00,4.50,5.00,9.42,1.00,0.94
216.00,330.00,116.00,5.00,5.00,4.50,9.36,1.00,0.93
217.00,322.00,112.00,4.00,4.50,4.50,9.26,1.00,0.91
218.00,321.00,109.00,4.00,4.00,4.00,9.13,1.00,0.85
219.00,324.00,110.00,4.00,3.00,3.50,8.97,1.00,0.84
220.00,312.00,104.00,3.00,3.50,3.50,8.42,0.00,0.74
221.00,313.00,103.00,3.00,4.00,4.00,8.75,0.00,0.76
222.00,316.00,110.00,3.00,3.50,4.00,8.56,0.00,0.75
223.00,324.00,113.00,4.00,4.50,4.00,8.79,0.00,0.76
224.00,308.00,109.00,2.00,3.00,4.00,8.45,0.00,0.71
225.00,305.00,105.00,2.00,3.00,2.00,8.23,0.00,0.67
226.00,296.00,99.00,2.00,2.50,2.50,8.03,0.00,0.61
227.00,306.00,110.00,2.00,3.50,4.00,8.45,0.00,0.63
228.00,312.00,110.00,2.00,3.50,3.00,8.53,0.00,0.64
229.00,318.00,112.00,3.00,4.00,3.50,8.67,0.00,0.71
230.00,324.00,111.00,4.00,3.00,3.00,9.01,1.00,0.82
231.00,313.00,104.00,3.00,4.00,4.50,8.65,0.00,0.73
232.00,319.00,106.00,3.00,3.50,2.50,8.33,1.00,0.74
233.00,312.00,107.00,2.00,2.50,3.50,8.27,0.00,0.69
234.00,304.00,100.00,2.00,2.50,3.50,8.07,0.00,0.64
235.00,330.00,113.00,5.00,5.00,4.00,9.31,1.00,0.91
236.00,326.00,111.00,5.00,4.50,4.00,9.23,1.00,0.88
237.00,325.00,112.00,4.00,4.00,4.50,9.17,1.00,0.85
238.00,329.00,114.00,5.00,4.50,5.00,9.19,1.00,0.86
239.00,310.00,104.00,3.00,2.00,3.50,8.37,0.00,0.70
240.00,299.00,100.00,1.00,1.50,2.00,7.89,0.00,0.59
241.00,296.00,101.00,1.00,2.50,3.00,7.68,0.00,0.60
242.00,317.00,103.00,2.00,2.50,2.00,8.15,0.00,0.65
243.00,324.00,115.00,3.00,3.50,3.00,8.76,1.00,0.70
244.00,325.00,114.00,3.00,3.50,3.00,9.04,1.00,0.76
245.00,314.00,107.00,2.00,2.50,4.00,8.56,0.00,0.63
246.00,328.00,110.00,4.00,4.00,2.50,9.02,1.00,0.81
247.00,316.00,105.00,3.00,3.00,3.50,8.73,0.00,0.72
248.00,311.00,104.00,2.00,2.50,3.50,8.48,0.00,0.71
249.00,324.00,110.00,3.00,3.50,4.00,8.87,1.00,0.80
250.00,321.00,111.00,3.00,3.50,4.00,8.83,1.00,0.77
251.00,320.00,104.00,3.00,3.00,2.50,8.57,1.00,0.74
252.00,316.00,99.00,2.00,2.50,3.00,9.00,0.00,0.70
253.00,318.00,100.00,2.00,2.50,3.50,8.54,1.00,0.71
254.00,335.00,115.00,4.00,4.50,4.50,9.68,1.00,0.93
255.00,321.00,114.00,4.00,4.00,5.00,9.12,0.00,0.85
256.00,307.00,110.00,4.00,4.00,4.50,8.37,0.00,0.79
257.00,309.00,99.00,3.00,4.00,4.00,8.56,0.00,0.76
258.00,324.00,100.00,3.00,4.00,5.00,8.64,1.00,0.78
259.00,326.00,102.00,4.00,5.00,5.00,8.76,1.00,0.77
260.00,331.00,119.00,4.00,5.00,4.50,9.34,1.00,0.90
261.00,327.00,108.00,5.00,5.00,3.50,9.13,1.00,0.87
262.00,312.00,104.00,3.00,3.50,4.00,8.09,0.00,0.71
263.00,308.00,103.00,2.00,2.50,4.00,8.36,1.00,0.70
264.00,324.00,111.00,3.00,2.50,1.50,8.79,1.00,0.70
265.00,325.00,110.00,2.00,3.00,2.50,8.76,1.00,0.75
266.00,313.00,102.00,3.00,2.50,2.50,8.68,0.00,0.71
267.00,312.00,105.00,2.00,2.00,2.50,8.45,0.00,0.72
268.00,314.00,107.00,3.00,3.00,3.50,8.17,1.00,0.73
269.00,327.00,113.00,4.00,4.50,5.00,9.14,0.00,0.83
270.00,308.00,108.00,4.00,4.50,5.00,8.34,0.00,0.77
271.00,306.00,105.00,2.00,2.50,3.00,8.22,1.00,0.72
272.00,299.00,96.00,2.00,1.50,2.00,7.86,0.00,0.54
273.00,294.00,95.00,1.00,1.50,1.50,7.64,0.00,0.49
274.00,312.00,99.00,1.00,1.00,1.50,8.01,1.00,0.52
275.00,315.00,100.00,1.00,2.00,2.50,7.95,0.00,0.58
276.00,322.00,110.00,3.00,3.50,3.00,8.96,1.00,0.78
277.00,329.00,113.00,5.00,5.00,4.50,9.45,1.00,0.89
278.00,320.00,101.00,2.00,2.50,3.00,8.62,0.00,0.70
279.00,308.00,103.00,2.00,3.00,3.50,8.49,0.00,0.66
280.00,304.00,102.00,2.00,3.00,4.00,8.73,0.00,0.67
281.00,311.00,102.00,3.00,4.50,4.00,8.64,1.00,0.68
282.00,317.00,110.00,3.00,4.00,4.50,9.11,1.00,0.80
283.00,312.00,106.00,3.00,4.00,3.50,8.79,1.00,0.81
284.00,321.00,111.00,3.00,2.50,3.00,8.90,1.00,0.80
285.00,340.00,112.00,4.00,5.00,4.50,9.66,1.00,0.94
286.00,331.00,116.00,5.00,4.00,4.00,9.26,1.00,0.93
287.00,336.00,118.00,5.00,4.50,4.00,9.19,1.00,0.92
288.00,324.00,114.00,5.00,5.00,4.50,9.08,1.00,0.89
289.00,314.00,104.00,4.00,5.00,5.00,9.02,0.00,0.82
290.00,313.00,109.00,3.00,4.00,3.50,9.00,0.00,0.79
291.00,307.00,105.00,2.00,2.50,3.00,7.65,0.00,0.58
292.00,300.00,102.00,2.00,1.50,2.00,7.87,0.00,0.56
293.00,302.00,99.00,2.00,1.00,2.00,7.97,0.00,0.56
294.00,312.00,98.00,1.00,3.50,3.00,8.18,1.00,0.64
295.00,316.00,101.00,2.00,2.50,2.00,8.32,1.00,0.61
296.00,317.00,100.00,2.00,3.00,2.50,8.57,0.00,0.68
297.00,310.00,107.00,3.00,3.50,3.50,8.67,0.00,0.76
298.00,320.00,120.00,3.00,4.00,4.50,9.11,0.00,0.86
299.00,330.00,114.00,3.00,4.50,4.50,9.24,1.00,0.90
300.00,305.00,112.00,3.00,3.00,3.50,8.65,0.00,0.71
301.00,309.00,106.00,2.00,2.50,2.50,8.00,0.00,0.62
302.00,319.00,108.00,2.00,2.50,3.00,8.76,0.00,0.66
303.00,322.00,105.00,2.00,3.00,3.00,8.45,1.00,0.65
304.00,323.00,107.00,3.00,3.50,3.50,8.55,1.00,0.73
305.00,313.00,106.00,2.00,2.50,2.00,8.43,0.00,0.62
306.00,321.00,109.00,3.00,3.50,3.50,8.80,1.00,0.74
307.00,323.00,110.00,3.00,4.00,3.50,9.10,1.00,0.79
308.00,325.00,112.00,4.00,4.00,4.00,9.00,1.00,0.80
309.00,312.00,108.00,3.00,3.50,3.00,8.53,0.00,0.69
310.00,308.00,110.00,4.00,3.50,3.00,8.60,0.00,0.70
311.00,320.00,104.00,3.00,3.00,3.50,8.74,1.00,0.76
312.00,328.00,108.00,4.00,4.50,4.00,9.18,1.00,0.84
313.00,311.00,107.00,4.00,4.50,4.50,9.00,1.00,0.78
314.00,301.00,100.00,3.00,3.50,3.00,8.04,0.00,0.67
315.00,305.00,105.00,2.00,3.00,4.00,8.13,0.00,0.66
316.00,308.00,104.00,2.00,2.50,3.00,8.07,0.00,0.65
317.00,298.00,101.00,2.00,1.50,2.00,7.86,0.00,0.54
318.00,300.00,99.00,1.00,1.00,2.50,8.01,0.00,0.58
319.00,324.00,111.00,3.00,2.50,2.00,8.80,1.00,0.79
320.00,327.00,113.00,4.00,3.50,3.00,8.69,1.00,0.80
321.00,317.00,106.00,3.00,4.00,3.50,8.50,1.00,0.75
322.00,323.00,104.00,3.00,4.00,4.00,8.44,1.00,0.73
323.00,314.00,107.00,2.00,2.50,4.00,8.27,0.00,0.72
324.00,305.00,102.00,2.00,2.00,2.50,8.18,0.00,0.62
325.00,315.00,104.00,3.00,3.00,2.50,8.33,0.00,0.67
326.00,326.00,116.00,3.00,3.50,4.00,9.14,1.00,0.81
327.00,299.00,100.00,3.00,2.00,2.00,8.02,0.00,0.63
328.00,295.00,101.00,2.00,2.50,2.00,7.86,0.00,0.69
329.00,324.00,112.00,4.00,4.00,3.50,8.77,1.00,0.80
330.00,297.00,96.00,2.00,2.50,1.50,7.89,0.00,0.43
331.00,327.00,113.00,3.00,3.50,3.00,8.66,1.00,0.80
332.00,311.00,105.00,2.00,3.00,2.00,8.12,1.00,0.73
333.00,308.00,106.00,3.00,3.50,2.50,8.21,1.00,0.75
334.00,319.00,108.00,3.00,3.00,3.50,8.54,1.00,0.71
335.00,312.00,107.00,4.00,4.50,4.00,8.65,1.00,0.73
336.00,325.00,111.00,4.00,4.00,4.50,9.11,1.00,0.83
337.00,319.00,110.00,3.00,3.00,2.50,8.79,0.00,0.72
338.00,332.00,118.00,5.00,5.00,5.00,9.47,1.00,0.94
339.00,323.00,108.00,5.00,4.00,4.00,8.74,1.00,0.81
340.00,324.00,107.00,5.00,3.50,4.00,8.66,1.00,0.81
341.00,312.00,107.00,3.00,3.00,3.00,8.46,1.00,0.75
342.00,326.00,110.00,3.00,3.50,3.50,8.76,1.00,0.79
343.00,308.00,106.00,3.00,3.00,3.00,8.24,0.00,0.58
344.00,305.00,103.00,2.00,2.50,3.50,8.13,0.00,0.59
345.00,295.00,96.00,2.00,1.50,2.00,7.34,0.00,0.47
346.00,316.00,98.00,1.00,1.50,2.00,7.43,0.00,0.49
347.00,304.00,97.00,2.00,1.50,2.00,7.64,0.00,0.47
348.00,299.00,94.00,1.00,1.00,1.00,7.34,0.00,0.42
349.00,302.00,99.00,1.00,2.00,2.00,7.25,0.00,0.57
350.00,313.00,101.00,3.00,2.50,3.00,8.04,0.00,0.62
351.00,318.00,107.00,3.00,3.00,3.50,8.27,1.00,0.74
352.00,325.00,110.00,4.00,3.50,4.00,8.67,1.00,0.73
353.00,303.00,100.00,2.00,3.00,3.50,8.06,1.00,0.64
354.00,300.00,102.00,3.00,3.50,2.50,8.17,0.00,0.63
355.00,297.00,98.00,2.00,2.50,3.00,7.67,0.00,0.59
356.00,317.00,106.00,2.00,2.00,3.50,8.12,0.00,0.73
357.00,327.00,109.00,3.00,3.50,4.00,8.77,1.00,0.79
358.00,301.00,104.00,2.00,3.50,3.50,7.89,1.00,0.68
359.00,314.00,105.00,2.00,2.50,2.00,7.64,0.00,0.70
360.00,321.00,107.00,2.00,2.00,1.50,8.44,0.00,0.81
361.00,322.00,110.00,3.00,4.00,5.00,8.64,1.00,0.85
362.00,334.00,116.00,4.00,4.00,3.50,9.54,1.00,0.93
363.00,338.00,115.00,5.00,4.50,5.00,9.23,1.00,0.91
364.00,306.00,103.00,2.00,2.50,3.00,8.36,0.00,0.69
365.00,313.00,102.00,3.00,3.50,4.00,8.90,1.00,0.77
366.00,330.00,114.00,4.00,4.50,3.00,9.17,1.00,0.86
367.00,320.00,104.00,3.00,3.50,4.50,8.34,1.00,0.74
368.00,311.00,98.00,1.00,1.00,2.50,7.46,0.00,0.57
369.00,298.00,92.00,1.00,2.00,2.00,7.88,0.00,0.51
370.00,301.00,98.00,1.00,2.00,3.00,8.03,1.00,0.67
371.00,310.00,103.00,2.00,2.50,2.50,8.24,0.00,0.72
372.00,324.00,110.00,3.00,3.50,3.00,9.22,1.00,0.89
373.00,336.00,119.00,4.00,4.50,4.00,9.62,1.00,0.95
374.00,321.00,109.00,3.00,3.00,3.00,8.54,1.00,0.79
375.00,315.00,105.00,2.00,2.00,2.50,7.65,0.00,0.39
376.00,304.00,101.00,2.00,2.00,2.50,7.66,0.00,0.38
377.00,297.00,96.00,2.00,2.50,2.00,7.43,0.00,0.34
378.00,290.00,100.00,1.00,1.50,2.00,7.56,0.00,0.47
379.00,303.00,98.00,1.00,2.00,2.50,7.65,0.00,0.56
380.00,311.00,99.00,1.00,2.50,3.00,8.43,1.00,0.71
381.00,322.00,104.00,3.00,3.50,4.00,8.84,1.00,0.78
382.00,319.00,105.00,3.00,3.00,3.50,8.67,1.00,0.73
383.00,324.00,110.00,4.00,4.50,4.00,9.15,1.00,0.82
384.00,300.00,100.00,3.00,3.00,3.50,8.26,0.00,0.62
385.00,340.00,113.00,4.00,5.00,5.00,9.74,1.00,0.96
386.00,335.00,117.00,5.00,5.00,5.00,9.82,1.00,0.96
